Survey_Date,Reserve_Forest,Transect_ID,Effort_km,Species,Count
2026-02-10,Singalila_RF,TR-01,4.5,Red Panda,2
2026-02-10,Singalila_RF,TR-02,3.2,,0
2026-02-11,Singalila_RF,TR-03,5.0,Red Panda,1
2026-02-12,Pangolakha_Block,TR-04,6.1,,0
2026-02-12,Pangolakha_Block,TR-05,4.8,Red Panda,3
2026-02-13,Pangolakha_Block,TR-06,5.5,Leopard Cat,1
2026-02-14,Neora_Fringe,TR-07,3.0,,0
2026-02-14,Neora_Fringe,TR-08,4.2,Red Panda,1
2026-02-15,Neora_Fringe,TR-09,5.1,,0
2026-02-16,Khangchendzonga_Buf,TR-10,7.0,Red Panda,2
2026-02-16,Khangchendzonga_Buf,TR-11,6.5,,0
2026-02-17,Khangchendzonga_Buf,TR-12,4.0,Red Panda,1
